href_norm,canonical_id,duplicate_count,all_ids
https://www.gamified.uk/user-types,4fe42304-b067-47a2-b632-8d1f964ce61c,2,"4fe42304-b067-47a2-b632-8d1f964ce61c,db7add1b-b59c-4713-b023-ec571f27cd7f"
https://www.lukew.com/ff/entry.asp,9056f6c7-869b-4c3f-b08d-324f51bf68f3,3,"9056f6c7-869b-4c3f-b08d-324f51bf68f3,1dc00abd-8b95-4aba-aff4-4c727bb16cf2,81a7221f-14c2-41fa-88ee-e7e1de1f85a3"
